user,age_level,brand,clk,time_stamp,time_idx
220,5,98931.0,0,2017-05-09 23:00:43,7
220,5,247789.0,0,2017-05-11 06:04:21,10
228,4,353787.0,0,2017-05-07 04:06:40,2
228,4,247789.0,0,2017-05-08 13:17:49,10
325,1,342760.0,0,2017-05-07 02:31:12,8
325,1,82527.0,0,2017-05-08 14:30:28,10
610,4,234846.0,0,2017-05-12 23:28:26,10
638,3,234846.0,0,2017-05-11 10:42:07,3
638,3,234846.0,0,2017-05-13 04:01:35,8
638,3,143597.0,0,2017-05-13 14:06:15,10
669,3,234846.0,0,2017-05-08 09:01:58,4
669,3,234846.0,0,2017-05-08 13:10:57,5
669,3,247789.0,0,2017-05-11 12:44:26,10
726,5,342760.0,0,2017-05-12 05:28:03,10
827,3,234846.0,0,2017-05-07 13:35:25,1
827,3,143597.0,0,2017-05-08 14:21:58,3
827,3,234846.0,0,2017-05-09 14:17:38,5
827,3,234846.0,0,2017-05-12 14:08:25,10
848,4,146115.0,1,2017-05-08 12:11:00,10
930,2,98931.0,0,2017-05-07 10:09:28,10
1015,1,353787.0,0,2017-05-10 23:21:17,6
1015,1,353787.0,0,2017-05-11 17:20:04,10
1158,2,146115.0,0,2017-05-08 10:52:35,8
1158,2,234846.0,0,2017-05-08 10:52:35,10
1242,3,234846.0,0,2017-05-11 20:57:19,10
1247,2,143597.0,0,2017-05-07 14:01:23,2
1247,2,146115.0,0,2017-05-07 14:01:23,3
1247,2,143597.0,0,2017-05-08 13:54:46,4
1247,2,143597.0,0,2017-05-11 07:39:05,6
1247,2,143597.0,0,2017-05-11 11:03:52,9
1247,2,143597.0,0,2017-05-13 05:00:28,10
1465,4,247789.0,0,2017-05-07 10:43:40,6
1465,4,342760.0,0,2017-05-07 10:43:40,10
1484,2,146115.0,0,2017-05-07 16:17:58,7
1484,2,454237.0,0,2017-05-07 16:17:58,8
1484,2,146115.0,0,2017-05-10 15:55:55,10
1531,3,454237.0,0,2017-05-06 11:51:13,2
1531,3,82527.0,1,2017-05-08 02:00:04,5
1531,3,82527.0,0,2017-05-13 08:50:55,9
1531,3,82527.0,0,2017-05-13 08:50:55,10
1736,3,454237.0,0,2017-05-06 01:04:46,1
1736,3,143597.0,0,2017-05-07 00:03:14,7
1736,3,342760.0,0,2017-05-07 09:12:17,10
1860,1,342760.0,0,2017-05-11 15:16:44,10
1964,4,143597.0,0,2017-05-06 15:20:17,2
1964,4,143597.0,0,2017-05-07 02:01:00,5
1964,4,146115.0,0,2017-05-07 23:52:23,8
